Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,Abilene Texas,1971,2020,10,294,148,146,.503,-10.99,-6.93,0,0,1,1,0,0
2,Air Force Falcons,USAF Academy Colorado,1958,2020,62,1703,741,962,.435,-2.63,1.34,0,1,0,4,0,0
3,Akron Zips,Akron Ohio,1902,2020,69,1593,942,651,.591,-0.24,-1.47,0,9,4,4,0,0
4,Alabama A&M Bulldogs,Normal Alabama,2000,2020,21,610,232,378,.380,-16.99,-11.31,0,1,1,1,0,0
5,Alabama Crimson Tide,Tuscaloosa Alabama,1913,2020,107,2756,1693,1062,.615,7.27,4.58,15,10,7,21,0,0
6,Alabama State Hornets,Montgomery Alabama,1983,2020,38,1128,540,588,.479,-12.96,-10.02,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,Birmingham Alabama,1980,2020,41,1320,820,500,.621,6.37,2.62,2,7,5,15,0,0
8,Albany (NY) Great Danes,Albany New York,2000,2020,21,658,326,332,.495,-6.75,-6.08,0,2,5,5,0,0
9,Alcorn State Braves,Alcorn State Mississippi,1978,2020,43,1275,552,723,.433,-13.57,-8.87,0,10,6,6,0,0
10,Allegheny Gators,Meadville Pennsylvania,1896,1916,21,234,191,41,.823,,,0,0,0,,,
11,American Eagles,Washington D.C.,1967,2020,54,1533,755,778,.492,-5.55,-3.79,0,7,3,3,0,0
12,Amherst Lord Jeffs,Amherst Massachusetts,1901,1902,2,12,12,0,1.000,,,0,0,0,,,
13,Appalachian State Mountaineers,Boone North Carolina,1974,2020,47,1385,675,710,.487,-5.90,-3.30,0,10,2,2,0,0
14,Arizona State Sun Devils,Tempe Arizona,1912,2020,105,2570,1368,1202,.532,4.94,3.91,7,8,0,16,0,0
15,Arizona Wildcats,Tucson Arizona,1905,2020,113,2754,1808,945,.657,8.92,5.03,27,24,7,35,4,1
16,Arkansas Razorbacks,Fayetteville Arkansas,1924,2020,97,2675,1708,967,.639,7.52,3.09,16,26,7,32,6,1
17,Arkansas State Red Wolves,State University Arkansas,1971,2020,50,1452,743,709,.512,-3.58,-2.94,0,7,1,1,0,0
18,Arkansas-Pine Bluff Golden Lions,Pine Bluff Arkansas,1999,2020,22,667,199,468,.298,-19.55,-8.53,0,0,1,1,0,0
19,Armstrong Pirates,Savannah Georgia,1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
20,Army Black Knights,West Point New York,1903,2020,118,2516,1250,1266,.497,-9.23,-4.68,0,0,0,0,0,0
21,Auburn Tigers,Auburn Alabama,1906,2020,114,2599,1389,1209,.535,5.54,4.17,8,4,2,10,1,0
22,Augusta State Jaguars,Augusta Georgia,1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0
23,Augustana (IL) Vikings,Rock Island Illinois,1902,1917,12,116,81,35,.698,,,0,0,0,,,
24,Austin Peay Governors,Clarksville Tennessee,1964,2020,57,1640,824,816,.502,-5.46,-3.39,1,8,5,7,0,0
25,Baker University Wildcats,Baldwin City Kansas,1903,1908,6,90,62,28,.689,,,0,0,0,,,
26,Baldwin-Wallace Yellow Jackets,Berea Ohio,1948,1953,6,139,82,57,.590,-4.45,1.84,0,0,0,0,0,0
27,Ball State Cardinals,Muncie Indiana,1972,2020,49,1443,768,675,.532,-0.83,-0.70,1,10,7,7,0,0
28,Baltimore Super Bees,Baltimore Maryland,1979,1983,5,133,46,87,.346,-13.76,-6.45,0,0,0,0,0,0
29,Baylor Bears,Waco Texas,1907,2020,114,2754,1377,1377,.500,1.63,2.57,7,5,0,12,2,0
30,Belmont Bruins,Nashville Tennessee,2000,2020,21,668,441,227,.660,1.21,-3.46,0,12,8,8,0,0
31,Beloit Buccaneers,Beloit Wisconsin,1911,1924,8,95,66,28,.702,,,0,0,0,,,
32,Bethune-Cookman Wildcats,Daytona Beach Florida,1981,2020,40,1185,433,752,.365,-16.65,-9.97,0,2,0,0,0,0
33,Binghamton Bearcats,Binghamton New York,2002,2020,19,574,205,369,.357,-11.21,-5.50,0,1,1,1,0,0
34,Birmingham-Southern Panthers,Birmingham Alabama,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
35,Bloomsburg Huskies,Bloomsburg Pennsylvania,1896,1911,15,143,88,55,.615,,,0,0,0,,,
36,Boise State Broncos,Boise Idaho,1972,2020,49,1445,803,642,.556,0.26,-0.58,0,6,5,7,0,0
37,Boston College Eagles,Chestnut Hill Massachusetts,1946,2020,75,2114,1156,958,.547,3.13,3.16,8,6,2,18,0,0
38,Boston University Terriers,Boston Massachusetts,1916,2020,94,2165,1113,1052,.514,-6.76,-5.47,0,8,7,7,0,0
39,Bowling Green State Falcons,Bowling Green Ohio,1916,2020,105,2603,1408,1195,.541,-0.44,0.08,2,9,0,4,0,0
40,Bradley Braves,Peoria Illinois,1903,2020,116,2905,1692,1213,.582,4.69,2.96,12,7,4,9,2,0
41,Brigham Young College,Logan Utah,1908,1908,1,11,10,1,.909,,,0,0,0,,,
42,Brigham Young Cougars,Provo Utah,1903,2020,118,2956,1853,1103,.627,7.69,3.58,11,25,3,29,0,0
43,Brooklyn Bulldogs,Brooklyn New York,1934,1992,25,567,233,334,.411,-19.21,-9.62,0,0,0,0,0,0
44,Brown Bears,Providence Rhode Island,1901,2020,114,2601,1060,1541,.408,-10.86,-4.57,0,1,0,2,0,0
45,Bryant Bulldogs,Smithfield Rhode Island,2011,2020,10,310,112,198,.361,-11.24,-5.38,0,0,0,0,0,0
46,Bucknell Bison,Lewisburg Pennsylvania,1896,2020,125,2712,1463,1249,.539,-8.24,-6.84,0,18,8,8,0,0
47,Buffalo Bulls,Buffalo New York,1907,2020,51,1237,633,604,.512,-4.93,-2.33,1,5,4,4,0,0
48,Butler Bulldogs,Indianapolis Indiana,1897,2020,122,2773,1619,1154,.584,1.87,3.14,8,13,7,16,2,0
49,Cal Poly Mustangs,San Luis Obispo California,1995,2020,26,765,303,462,.396,-6.76,-1.75,0,1,1,1,0,0
50,Cal State Bakersfield Roadrunners,Bakersfield California,2011,2020,10,317,157,160,.495,-4.93,-3.18,0,1,1,1,0,0
51,Cal State Fullerton Titans,Fullerton California,1975,2020,46,1344,635,709,.472,-1.94,-0.30,0,2,3,3,0,0
52,Cal State Long Beach 49ers,Long Beach California,1970,2020,51,1527,826,701,.541,1.01,1.23,5,14,5,9,0,0
53,Cal State Los Angeles Golden Eagles,Los Angeles California,1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
54,Cal State Northridge Matadors,Northridge California,1991,2020,30,897,384,513,.428,-5.32,-1.86,0,3,2,2,0,0
55,California Baptist Lancers,Riverside California,2019,2020,2,62,37,25,.597,-2.94,-5.39,0,0,0,0,0,0
56,Campbell Fighting Camels,Buies Creek North Carolina,1978,2020,43,1244,518,726,.416,-12.58,-7.13,0,2,1,1,0,0
57,Canisius Golden Griffins,Buffalo New York,1904,2020,116,2606,1319,1287,.506,-3.71,-1.70,1,8,1,4,0,0
58,Carleton College Knights,Northfield Minnesota,1910,1934,25,360,280,80,.778,,,0,0,0,,,
59,Carnegie Mellon Tartans,Pittsburgh Pennsylvania,1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
60,Case Western Reserve Spartans,Cleveland Ohio,1898,1955,13,245,95,150,.388,-18.31,-2.68,0,0,0,0,0,0
61,Catholic Cardinals,Washington D.C.,1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
62,Centenary (LA) Gents,Shreveport Louisiana,1960,2011,52,1435,637,798,.444,-8.73,-3.96,1,1,1,0,0,0
63,Central Arkansas Bears,Conway Arkansas,2011,2020,10,305,93,212,.305,-14.30,-5.19,0,0,0,0,0,0
64,Central Connecticut State Blue Devils,New Britain Connecticut,1987,2020,34,992,395,597,.398,-12.72,-7.65,0,3,3,3,0,0
65,Central Florida Knights,Orlando Florida,1985,2020,36,1079,543,536,.503,-4.02,-2.61,0,1,4,5,0,0
66,Central Michigan Chippewas,Mount Pleasant Michigan,1974,2020,47,1357,602,755,.444,-3.85,-0.38,0,8,2,4,0,0
67,Central Missouri Mules,Warrensburg Missouri,1913,1937,10,178,140,38,.787,,,0,0,0,,,
68,Central Normal College,Danville Indiana,1931,1931,1,19,19,0,1.000,,,0,0,0,,,
